district,watch,patrol_calls,officer_hours_capped,p1,p2,p3,median_service_mins,mean_officers_per_call,unique_units,max_hourly_units,avg_hourly_units,baseline_staff,workload_units,priority_units,concurrency_units,required_units,weight,baseline_shortage,coverage_baseline
1,1st Watch,74,89.14166666666667,26,32,7,15.183333333333334,2.0405405405405403,15,6,4.25,4,15.918154761904763,11.34375,5.1,15.918154761904763,5.2,11.918154761904763,0.25128540712349257
2,1st Watch,65,86.59277777777778,24,30,2,16.283333333333335,2.076923076923077,15,10,5.125,5,15.462996031746034,10.125,8.5,15.462996031746034,4.9,10.462996031746034,0.32335260189777176
3,1st Watch,57,58.55777777777778,22,20,3,17.166666666666668,1.894736842105263,11,4,3.25,3,10.456746031746032,8.21875,3.4,10.456746031746032,4.2,7.456746031746032,0.2868961329740807
4,1st Watch,45,37.0775,22,20,2,16.9,1.7555555555555555,16,6,4.0,4,6.620982142857144,8.125,5.1,8.125,4.2,4.125,0.49230769230769234
1,2nd Watch,61,50.791111111111114,17,28,8,26.516666666666666,1.4754098360655739,14,8,4.75,5,9.069841269841271,8.84375,6.8,9.069841269841271,4.1000000000000005,4.069841269841271,0.5512775638781938
2,2nd Watch,67,61.68944444444445,15,31,15,25.283333333333335,1.492537313432836,17,9,5.375,5,11.015972222222224,9.53125,7.6499999999999995,11.015972222222224,4.05,6.015972222222224,0.45388640231986377
3,2nd Watch,45,38.17305555555556,11,22,8,27.133333333333333,1.511111111111111,11,7,4.125,4,6.816617063492064,6.59375,5.95,6.816617063492064,3.2,2.816617063492064,0.5868013360208989
4,2nd Watch,55,49.81805555555555,13,22,17,33.63333333333333,1.4363636363636363,19,8,5.5,6,8.89608134920635,7.875,6.8,8.89608134920635,3.4,2.8960813492063497,0.6744542641277983
1,3rd Watch,56,40.72277777777778,13,30,9,19.966666666666665,1.4464285714285714,9,5,4.25,4,7.271924603174604,8.375,4.25,8.375,3.8,4.375,0.47761194029850745
2,3rd Watch,66,68.43111111111111,16,32,14,20.108333333333334,1.7272727272727273,13,7,5.125,5,12.21984126984127,9.8125,5.95,12.21984126984127,4.2,7.21984126984127,0.4091706176527895
3,3rd Watch,58,56.55027777777778,12,32,9,17.566666666666666,1.6896551724137931,8,7,4.875,5,10.09826388888889,8.46875,5.95,10.09826388888889,3.8000000000000003,5.098263888888891,0.49513461472337783
4,3rd Watch,48,33.1775,12,19,14,20.125,1.5208333333333333,14,6,4.125,4,5.924553571428572,6.90625,5.1,6.90625,3.1500000000000004,2.90625,0.579185520361991
